公司名稱,股票代碼,產業類別,2020範疇一,2020範疇二,2020範疇三,2021範疇一,2021範疇二,2021範疇三,2020能源使用,2020可再生能源使用,2020不可再生能源使用,2020能源直接使用,2020能源間接使用,2021能源使用,2021可再生能源使用,2021不可再生能源使用,2021能源直接使用,2021能源間接使用,2020用水量(t),2020製程用水回收率(%),2020總結水量(t),2021用水量(t),2021製程用水回收率(%),2021總結水量(t),2020廢棄物產生量,2020一般廢棄物產生量,2020有害廢棄物產生量,2020廢棄物回收率(%),2021廢棄物產生量,2021一般廢棄物產生量,2021有害廢棄物產生量,2021廢棄物回收率(%),2020營收,2020淨利(稅前),2020資本支出,2021營收,2021淨利(稅前),2021資本支出
聯電,2303,電子業 - 半導體業,539321,1287248,nan,498907,1298439,2717754,2782754000,2912000,2782105000,nan,nan,2835163000,4321000,2833017000,nan,nan,15500000,67%,本欄先以nan處理,16213000,67%,本欄先以nan處理,45949,18017,27932,92%,50033,18963,31710,87.50%,"176,820,914","27,926,179","-40,111,501","213,011,018","61,803,404","-62,163,400"
中華電,2412,服務業,nan,nan,nan,nan,nan,nan,1509090000,nan,nan,nan,nan,1428250000,nan,nan,nan,nan,nan,nan,本欄先以nan處理,nan,nan,本欄先以nan處理,7344.8563,nan,nan,47.03%,8869.9306,nan,nan,61.51%,"207,608,998","42,830,971","-68,253,689","210,477,948","46,066,624","-31,172,361"
富邦金,2881,金融保險業,3553,41272,41235,3653,39241,34052,81891533,52257,81839276,NaN,NaN,78858988,54786,78804202,NaN,NaN,495192,NaN,NaN,NaN,NaN,NaN,1879,1219,NaN,35.13,1696,912,NaN,46.23,"476,506,085","103,127,912","-67,201,747","485,832,177","165,589,399","-11,253,959"
國泰金,2882,金融保險業,3816.05,56427.61,3836.1,4105.41,55868.85,3266.04,113061111,272000,112789111,NaN,NaN,107768083,686000,107082083,NaN,NaN,711445,NaN,NaN,596154,NaN,NaN,2558.75,1536.01,NaN,39.97,2103.45,1246.29,NaN,40.75,"629,914,485","81,615,781","-15,165,853","625,962,605","159,526,371","-12,891,519"
開發金,2883,金融保險業,1164.25,20856.84,NaN,"1758,97",20270.39,146.37,43124000.13,34000,43090000.13,NaN,NaN,42172280,90450,42081830,NaN,NaN,232200,NaN,NaN,213660,NaN,NaN,444.94,240.05,NaN,46.05,488.73,270.74,NaN,44.6,"224,824,427","21,948,393","-150,508,431","192,278,170","52,199,699","-7,291,828"
新光金,2888,金融保險業,2831.94,29866.51,5294.83,2915.24,27251.43,4920.14,59973350,17000,59956350,NaN,NaN,58513680,18000,58495680,NaN,NaN,363480,NaN,NaN,349461,NaN,NaN,2111.42,1921.45,NaN,9,2038.52,1706.54,NaN,16.29,"268,137,149","8,492,051","-6,494,092","216,512,146","18,441,707","-14,980,026"
元大金,2885,金融保險業,1492.17,22128.53,6440.28,1660.71,20407.59,4035.19,1037341,510000,527341,NaN,NaN,41549903,527341,41022562,NaN,NaN,194440,NaN,NaN,172670,NaN,NaN,452.32,212.81,NaN,52.95,407.45,153.72,NaN,62.27,"115,628,866","30,766,278","-7,340,545","119,240,503","30,766,278","-1,751,950"
中信金,2891,金融保險業,3596,38310,167,3377,38817,67,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,403000,NaN,NaN,341939,NaN,NaN,978,612,NaN,37.42,1014,715,NaN,29.49,"194,406,321","51,577,057","-12,224,156","186,057,824","62,044,158","24,874,507"
潤泰全,2915,服務業,NaN,NaN,NaN,NaN,NaN,NaN,29385000,NaN,NaN,NaN,NaN,49876025,NaN,NaN,NaN,NaN,564545,NaN,NaN,251436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"2,736,394","9,450,199","287,378","2,695,981","15,911,994","866,203"
三商,2905,服務業,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274.4,106.5,NaN,61.19,367.125,148.16,NaN,59.64,"210,659,310","3,171,986","-29,666,653","188,373,202","646,215","-112,574,623"
統一,1216,服務業,30910.58,472365.15,193802,31252.97,464932.82,185910.72,92802.58,NaN,NaN,NaN,NaN,92616.1,NaN,NaN,NaN,NaN,2830318,NaN,NaN,2483875,NaN,NaN,65906.78,53793.32,NaN,18.38,69525.99,56256.24,NaN,19.09,"447,319,979","38,438,021","-15,755,308","473,501,669","36,267,728","-23,102,783"
聯華,1229,服務業,1075.95,12990.8,NaN,1315.32,14868.51,3014.27,29598639,NaN,NaN,4076438,25522201,33110181,NaN,NaN,3898959,29211222,55400,NaN,NaN,51772,NaN,NaN,178.99,73.31,NaN,59.04,282.99,64.79,NaN,77.11,"9,544,161","3,632,369","-2,255,168","11,322,814","4,819,483","-1,299,008"
